City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,abha,18.2164,42.5053,283.05,50,0,0.0,SA,1676772013
1,skelleftea,64.7507,20.9528,271.48,100,100,2.57,SE,1676772052
2,geraldton,-28.7667,114.6,299.38,65,2,7.72,AU,1676771882
3,thompson,55.7435,-97.8558,247.24,84,0,1.03,CA,1676771890
4,portland,45.5234,-122.6762,282.07,86,100,3.6,US,1676771829
5,yellowknife,62.456,-114.3525,244.44,76,20,1.54,CA,1676772008
6,hobart,-42.8794,147.3294,301.07,37,0,8.75,AU,1676772055
7,severo-kurilsk,50.6789,156.125,267.29,75,99,2.9,RU,1676772056
8,rikitea,-23.1203,-134.9692,299.76,76,86,7.6,PF,1676772056
9,nikolskoye,59.7035,30.7861,268.1,91,100,5.34,RU,1676772057
10,ornskoldsvik,63.2909,18.7153,271.68,86,75,6.69,SE,1676772057
11,lata,40.1629,-8.3327,282.45,87,68,1.65,PT,1676772058
12,punta arenas,-53.15,-70.9167,282.21,76,75,7.72,CL,1676772058
13,tucupita,9.0622,-62.051,292.86,87,0,1.63,VE,1676772059
14,lazaro cardenas,17.9583,-102.2,297.67,69,0,2.77,MX,1676772059
15,avarua,-21.2078,-159.775,301.18,83,21,4.12,CK,1676772060
16,sokoni,-6.4333,39.55,299.07,74,99,5.97,TZ,1676772060
17,esperance,-33.8667,121.9,298.33,62,1,5.93,AU,1676772061
18,tibati,6.4667,12.6333,291.26,26,44,1.6,CM,1676772062
19,high rock,26.6208,-78.2833,295.16,74,98,7.0,BS,1676772062
20,jamestown,42.097,-79.2353,275.77,53,0,3.09,US,1676772063
21,mataura,-46.1927,168.8643,288.42,87,96,3.99,NZ,1676772064
22,kant,27.8,79.8,288.92,73,0,1.17,IN,1676772067
23,lompoc,34.6391,-120.4579,288.23,54,75,2.57,US,1676771945
24,port alfred,-33.5906,26.891,292.69,97,88,0.89,ZA,1676772074
25,puerto ayora,-0.7393,-90.3518,300.12,93,40,1.79,EC,1676772074
26,fortuna,40.5982,-124.1573,282.4,90,20,3.09,US,1676772075
27,verkhoyansk,67.5447,133.385,237.68,99,99,0.78,RU,1676772075
